Semester, CourseCode, CourseTitle, Credits, L, T, P
1, ENSH 101, Engineering Mathematics I, 3, 3, 2, 0
1, ENSH 103, Engineering Chemistry, 3, 3, 0, 3
1, ENCT 101, Computer Programming, 3, 3, 1, 3
1, ENEE 103, Basic Electrical and Electronics Engineering, 3, 3, 1, 1.5
1, ENCE 101, Engineering Mechanics, 4, 4, 2, 0
1, ENCE 102, Engineering Geology I, 2, 2, 0, 1
1, ENCE 103, Civil Engineering Materials, 2, 2, 0, 1
2, ENSH 151, Engineering Mathematics II, 3, 3, 2, 0
2, ENSH 152, Engineering Physics, 4, 4, 1, 2
2, ENME 158, Engineering Drawing, 2, 2, 0, 4
2, ENCE 151, Strength of Materials, 3, 3, 1, 1
2, ENCE 152, Engineering Geology II, 2, 2, 0, 1
2, ENCE 153, Engineering Survey I, 3, 3, 1, 4
3, ENSH 201, Engineering Mathematics III, 3, 3, 2, 0
3, ENSH 202, Numerical Methods, 3, 3, 1, 3
3, ENCE 201, Fluid Mechanics, 4, 4, 2, 1.5
3, ENCE 202, Theory of Structures I, 3, 3, 2, 1
3, ENCE 203, Engineering Survey II, 3, 3, 1, 4
3, ENCE 204, Computer Aided Civil Drawing, 2, 2, 0, 3
3, ENCE 205, Concrete Technology, 2, 2, 0, 1.5
4, ENSH 251, Communication English, 3, 3, 0, 1
4, ENSH 253, Probability and Statistics, 3, 3, 1, 0
4, ENCE 251, Hydraulics, 4, 4, 2, 1
4, ENCE 252, Theory of Structures II, 4, 4, 2, 1
4, ENCE 253, Soil Mechanics, 4, 4, 2, 2
4, ENCE 254, Water Supply Engineering, 3, 3, 2, 1
4, ENCE 255, Building Technology, 2, 2, 2, 0
4, ENCE 256, Survey Camp, 2, 0, 0, 0
5, ENCE 301, Design of Timber and Masonry Structures, 3, 3, 1, 0
5, ENCE 302, Foundation Engineering, 3, 3, 2, 1
5, ENCE 303, Design of Steel Structures, 3, 3, 1, 0
5, ENCE 304, Transportation Engineering I, 3, 3, 2, 1
5, ENCE 305, Sanitary Engineering, 3, 3, 2, 1
5, ENCE 306, Engineering Hydrology, 3, 3, 2, 1
5, ENCE 307, Engineering Economics, 3, 3, 1, 0
6, ENCE 351, Estimating and Costing, 3, 3, 1, 0
6, ENCE 352, Design of RCC Structures, 4, 4, 2, 2
6, ENCE 353, Transportation Engineering II, 3, 3, 2, 1
6, ENCE 354, Irrigation and Drainage Engineering, 4, 4, 2, 0
6, ENCE 355, Professional and Social Engineering, 3, 3, 1, 0
6, ENCE 365-389, Elective I, 3, 3, 2, 1
7, ENCE 401, Operations Research, 2, 2, 1, 1
7, ENCE 402, Project and Construction Engineering, 4, 4, 2, 0
7, ENCE 403, Hydropower Engineering, 4, 4, 2, 1
7, ENCE 411-434, Elective II, 3, 3, 2, 1
7, ENCE 435-449, Elective III, 3, 3, 2, 1
7, ENCE 404, Project I, 2, 0, 0, 0
8, CE 461, Project II, 4, 0, 0, 0
8, CE 462, Internship, 6, 0, 0, 0
